store,week_start,department,sku,name,pack_size,price,price_unit,unit_price,unit_price_label,save_amount,price_text,save_text,labels,is_featured,product_url
blue-oaks,2026-08-05,meat,1328-515,Premium Beef T‑Bone Steaks,,15.99,lb,0.9994,$1.00/oz,4,$15.99/lb.,Save $4/lb.,,yes,https://www.nuggetmarket.com/specials/meat/1328-515/
blue-oaks,2026-08-05,produce,4050,Cantaloupes,,2.99,ea,,,2,$2.99/ea.,Save $2/ea.,Local,yes,https://www.nuggetmarket.com/specials/produce/4050/
blue-oaks,2026-08-05,specialty-cheese,66529100653,Organic Feta,,6.99,ea,,,2,$6.99/ea.,Save $2/ea.,Imported; Organic,yes,https://www.nuggetmarket.com/specials/specialty-cheese/66529100653/
blue-oaks,2026-08-05,kitchen,22233400000,"Watermelon, Cucumber, & Feta Salad",,12.99,lb,0.8119,$0.81/oz,,$12.99/lb.,,Vegetarian; Scratch-Made,yes,https://www.nuggetmarket.com/specials/kitchen/22233400000/
blue-oaks,2026-08-05,produce,4046,Avocados,,1.5,ea,,,0.49,2/$3,Save 98¢ on 2,,no,https://www.nuggetmarket.com/specials/produce/4046/
blue-oaks,2026-08-05,produce,4700,Hatch Chile Peppers,,2.49,lb,0.1556,$0.16/oz,0.5,$2.49/lb.,Save 50¢/lb.,,no,https://www.nuggetmarket.com/specials/produce/4700/
blue-oaks,2026-08-05,produce,94022,Organic Red or Green Seedless Grapes,,3.99,lb,0.2494,$0.25/oz,1,$3.99/lb.,Save $1/lb.,California Grown; Organic,no,https://www.nuggetmarket.com/specials/produce/94022/
blue-oaks,2026-08-05,produce,94266,Organic Mixed Variety Figs,,6.99,ea,,,1,$6.99/ea.,Save $1/ea.,Local,no,https://www.nuggetmarket.com/specials/produce/94266/
blue-oaks,2026-08-05,produce,75607,Organic Heirloom Tomatoes,,5.99,lb,0.3744,$0.37/oz,1,$5.99/lb.,Save $1/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/75607/
blue-oaks,2026-08-05,meat,20070500000,Organic Whole Chickens,,3.99,lb,0.2494,$0.25/oz,0.5,$3.99/lb.,Save 50¢/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/meat/20070500000/
blue-oaks,2026-08-05,meat,20062300000,Organic Thin-Sliced Boneless & Skinless Chicken Breasts,,8.99,lb,0.5619,$0.56/oz,3,$8.99/lb.,Save $3/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/meat/20062300000/
blue-oaks,2026-08-05,meat,2200-750,Beef Tomahawk Ribeye Steaks,,26.99,lb,1.6869,$1.69/oz,3,$26.99/lb.,Save $3/lb.,,no,https://www.nuggetmarket.com/specials/meat/2200-750/
blue-oaks,2026-08-05,meat,20012400000,Thin-Sliced Boneless & Skinless Chicken Breasts,,7.99,lb,0.4994,$0.50/oz,2,$7.99/lb.,Save $2/lb.,,no,https://www.nuggetmarket.com/specials/meat/20012400000/
blue-oaks,2026-08-05,meat,7274506369,Ground Chicken,,4.99,ea,,,2,$4.99,Save $2,,no,https://www.nuggetmarket.com/specials/meat/7274506369/
blue-oaks,2026-08-05,meat,20162900000,Boneless & Skinless Chicken Breasts,,7.99,lb,0.4994,$0.50/oz,1.5,$7.99/lb.,Save $1.50/lb.,,no,https://www.nuggetmarket.com/specials/meat/20162900000/
