store,week_start,department,sku,name,pack_size,price,price_unit,unit_price,unit_price_label,save_amount,price_text,save_text,labels,is_featured,product_url
blue-oaks,2026-09-02,produce,4050,Cantaloupes,,2,ea,,,2.99,2/$4,Save $5.98 on 2,Local,yes,https://www.nuggetmarket.com/specials/produce/4050/
blue-oaks,2026-09-02,frozen,6-,Tillamook Ice Cream,1.5 QT. carton,3.99,ea,0.0028,$0.003/ml,4.4,$3.99,Save $4.40,Certified B Corporation,yes,https://www.nuggetmarket.com/specials/frozen/6-TILL+IC/
blue-oaks,2026-09-02,adult-beverages,8524613943,Maker’s Mark Whisky,750 ML. bottle,21.99,ea,0.0293,$0.029/ml,11,$21.99+crv,Save $11,,yes,https://www.nuggetmarket.com/specials/adult-beverages/8524613943/
blue-oaks,2026-09-02,staples,89107100146,Euro Classic Brioche Hamburger Buns,6 CT. package,4.99,ea,0.8317,$0.83/ct,3,$4.99,Save $3,,yes,https://www.nuggetmarket.com/specials/staples/89107100146/
blue-oaks,2026-09-02,produce,4401,White Peaches or Nectarines,,4.49,lb,0.2806,$0.28/oz,0.5,$4.49/lb.,Save 50¢/lb.,California Grown,no,https://www.nuggetmarket.com/specials/produce/4401/
blue-oaks,2026-09-02,produce,94022,Organic Red or Green Seedless Grapes,,2.99,lb,0.1869,$0.19/oz,2,$2.99/lb.,Save $2/lb.,California Grown; Organic,no,https://www.nuggetmarket.com/specials/produce/94022/
blue-oaks,2026-09-02,produce,3501,Tear Drop Seedless Grapes,,5.99,lb,0.3744,$0.37/oz,1,$5.99/lb.,Save $1/lb.,California Grown,no,https://www.nuggetmarket.com/specials/produce/3501/
blue-oaks,2026-09-02,produce,3094,Moon Drop Grapes,,2.99,lb,0.1869,$0.19/oz,3,$2.99/lb.,Save $3/lb.,California Grown,no,https://www.nuggetmarket.com/specials/produce/3094/
blue-oaks,2026-09-02,produce,94266,"Organic Brown, Kadota or Black Mission Figs",,6.99,ea,,,1,$6.99/ea.,Save $1/ea.,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/94266/
blue-oaks,2026-09-02,produce,94712,Organic Shishito Peppers,,4.99,ea,,,1,$4.99,Save $1,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/94712/
blue-oaks,2026-09-02,produce,94796,"Organic Sweet 100, Sungold or Mixed Medley Cherry Tomatoes",,5.99,ea,,,1,$5.99,Save $1,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/94796/
blue-oaks,2026-09-02,produce,74979,Seedless Watermelons,,5.99,ea,,,2,$5.99/ea.,Save $2/ea.,Local,no,https://www.nuggetmarket.com/specials/produce/74979/
