store,week_start,department,sku,name,pack_size,price,price_unit,unit_price,unit_price_label,save_amount,price_text,save_text,labels,is_featured,product_url
blue-oaks,2026-08-12,specialty-cheese,85185600638,Pierce Point,,17.99,ea,,,2,$17.99,Save $2,Local; Organic; Vegetarian,yes,https://www.nuggetmarket.com/specials/specialty-cheese/85185600638/
blue-oaks,2026-08-12,kitchen,22233600000,Spicy Citrus Couscous,,12.99,lb,0.8119,$0.81/oz,,$12.99/lb.,,Vegan; Scratch-Made,yes,https://www.nuggetmarket.com/specials/kitchen/22233600000/
blue-oaks,2026-08-12,produce,4050,Cantaloupes,,2.99,ea,,,2,$2.99/ea.,Save $2/ea.,Local,no,https://www.nuggetmarket.com/specials/produce/4050/
blue-oaks,2026-08-12,produce,4436,Italian Prunes,,2.49,lb,0.1556,$0.16/oz,0.5,$2.49/lb.,Save 50¢/lb.,,no,https://www.nuggetmarket.com/specials/produce/4436/
blue-oaks,2026-08-12,produce,93508,Organic Thomcord Grapes,,5.99,lb,0.3744,$0.37/oz,2,$5.99/lb.,Save $2/lb.,California Grown; Organic,no,https://www.nuggetmarket.com/specials/produce/93508/
blue-oaks,2026-08-12,produce,94022,Organic Red or Green Seedless Grapes,,3.99,lb,0.2494,$0.25/oz,1,$3.99/lb.,Save $1/lb.,California Grown; Organic,no,https://www.nuggetmarket.com/specials/produce/94022/
blue-oaks,2026-08-12,produce,94326,Organic Galia Melons,,1.99,lb,0.1244,$0.12/oz,0.5,$1.99/lb.,Save 50¢/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/94326/
blue-oaks,2026-08-12,produce,94712,Organic Shishito Peppers,,4.99,ea,,,1,$4.99,Save $1,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/94712/
blue-oaks,2026-08-12,produce,94796,"Organic Sweet 100, Sungold or Mixed Medley Cherry Tomatoes",,5.99,ea,,,1,$5.99,Save $1,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/94796/
blue-oaks,2026-08-12,produce,94805,Organic Early Girl Tomatoes,,4.99,lb,0.3119,$0.31/oz,1,$4.99/lb.,Save $1/lb.,California Grown; Organic,no,https://www.nuggetmarket.com/specials/produce/94805/
blue-oaks,2026-08-12,produce,74949,Honeydew Melons,,4.99,ea,,,2,$4.99/ea.,Save $2/ea.,Local,no,https://www.nuggetmarket.com/specials/produce/74949/
blue-oaks,2026-08-12,produce,75607,Organic Heirloom Tomatoes,,4.99,lb,0.3119,$0.31/oz,2,$4.99/lb.,Save $2/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/75607/
blue-oaks,2026-08-12,produce,75168,Organic Jimmy Nardello Peppers,,6.99,lb,0.4369,$0.44/oz,2,$6.99/lb.,Save $2/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/75168/
blue-oaks,2026-08-12,produce,93114,Organic Extra Large Keitt Mangos,,5.99,ea,,,1,$5.99/ea.,Save $1/ea.,California Grown; Organic,no,https://www.nuggetmarket.com/specials/produce/93114/
blue-oaks,2026-08-12,meat,1804-543,USDA Prime Beef New York Steaks,,24.99,lb,1.5619,$1.56/oz,10,$24.99/lb.,Save $10/lb.,,no,https://www.nuggetmarket.com/specials/meat/1804-543/
blue-oaks,2026-08-12,meat,20164600000,USDA Choice Ground Beef,,7.49,lb,0.4681,$0.47/oz,2,$7.49/lb.,Save $2/lb.,,no,https://www.nuggetmarket.com/specials/meat/20164600000/
blue-oaks,2026-08-12,meat,20142700000,Organic Bone‑In Chicken Thighs,,5.99,lb,0.3744,$0.37/oz,0.5,$5.99/lb.,Save 50¢/lb.,Organic,no,https://www.nuggetmarket.com/specials/meat/20142700000/
blue-oaks,2026-08-12,meat,20088400000,Organic Boneless & Skinless Chicken Breasts,,8.99,lb,0.5619,$0.56/oz,1.8,$8.99/lb.,Save $1.80/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/meat/20088400000/
blue-oaks,2026-08-12,meat,20061800000,Organic Chicken Breast Tenders,,8.99,lb,0.5619,$0.56/oz,3,$8.99/lb.,Save $3/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/meat/20061800000/
blue-oaks,2026-08-12,meat,20010500000,Pure Air‑Chilled Whole Chickens,,2.29,lb,0.1431,$0.14/oz,0.2,$2.29/lb.,Save 20¢/lb.,,no,https://www.nuggetmarket.com/specials/meat/20010500000/
blue-oaks,2026-08-12,meat,7274554369,Organic Fresh Ground Chicken,,6.99,ea,,,2,$6.99,Save $2,Organic,no,https://www.nuggetmarket.com/specials/meat/7274554369/
blue-oaks,2026-08-12,meat,20220300000,Beef Boneless New York Steaks,,26.99,lb,1.6869,$1.69/oz,3,$26.99/lb.,Save $3/lb.,,no,https://www.nuggetmarket.com/specials/meat/20220300000/
blue-oaks,2026-08-12,meat,20242000000,Grass-Fed Beef Tri‑Tip Roasts,,19.99,lb,1.2494,$1.25/oz,2,$19.99/lb.,Save $2/lb.,,no,https://www.nuggetmarket.com/specials/meat/20242000000/
blue-oaks,2026-08-12,meat,20903300000,Petrale Sole Fillets,,12.99,lb,0.8119,$0.81/oz,3,$12.99/lb.,Save $3/lb.,,no,https://www.nuggetmarket.com/specials/meat/20903300000/
blue-oaks,2026-08-12,meat,20911500000,Peeled & Deveined Prawns,,10.99,lb,0.6869,$0.69/oz,2,$10.99/lb.,Save $2/lb.,,no,https://www.nuggetmarket.com/specials/meat/20911500000/
blue-oaks,2026-08-12,staples,7114200015,Arrowhead Spring Water,,1.5,ea,,,1.49,2/$3+crv,Save $2.98 on 2,,no,https://www.nuggetmarket.com/specials/staples/7114200015/
blue-oaks,2026-08-12,staples,7514000515,Crystal Geyser Spring Water,,1.25,ea,,,0.54,4/$5+crv,Save $2.16 on 4,,no,https://www.nuggetmarket.com/specials/staples/7514000515/
blue-oaks,2026-08-12,staples,7885852050,La Tortilla Factory Tortillas,,2.99,ea,,,2,$2.99,Save $2,Local,no,https://www.nuggetmarket.com/specials/staples/7885852050/
blue-oaks,2026-08-12,staples,75321503185,Peppertux Farms Turkish Pistachio Cream,,4.99,ea,,,3.5,$4.99,Save $3.50,Imported,no,https://www.nuggetmarket.com/specials/staples/75321503185/
blue-oaks,2026-08-12,staples,84044220000,Liquid Death Still Mountain Water,,5.99,ea,,,2,$5.99+crv,Save $2,,no,https://www.nuggetmarket.com/specials/staples/84044220000/
blue-oaks,2026-08-12,staples,85006239318,Graza Original Mayonnaise,,7.99,ea,,,4,$7.99,Save $4,Imported,no,https://www.nuggetmarket.com/specials/staples/85006239318/
blue-oaks,2026-08-12,staples,7,7-Up Sodas,,2,ea,,,0.99,2/$4+crv,Save $1.98 on 2,,no,https://www.nuggetmarket.com/specials/staples/7UP+1LTR/
blue-oaks,2026-08-12,frozen,6-,Breyers Ice Cream,,4.99,ea,,,3.4,$4.99,Save $3.40,,no,https://www.nuggetmarket.com/specials/frozen/6-BRY__per__5/
blue-oaks,2026-08-12,frozen,8-,Baskin Robbins Ice Cream,,3.5,ea,,,3.89,2/$7,Save $7.78 on 2,,no,https://www.nuggetmarket.com/specials/frozen/8-BR+IC/
