store,week_start,department,sku,name,pack_size,price,price_unit,unit_price,unit_price_label,save_amount,price_text,save_text,labels,is_featured,product_url
blue-oaks,2026-07-22,meat,1804-543,USDA Prime Beef New York Steaks,,22.99,lb,1.4369,$1.44/oz,12,$22.99/lb.,Save $12/lb.,,yes,https://www.nuggetmarket.com/specials/meat/1804-543/
blue-oaks,2026-07-22,produce,75607,Organic Heirloom Tomatoes,,5.99,lb,0.3744,$0.37/oz,1,$5.99/lb.,Save $1/lb.,Local; Organic,yes,https://www.nuggetmarket.com/specials/produce/75607/
blue-oaks,2026-07-22,specialty-cheese,3114200069,Sliced Fresh Mozzarella Log,16 OZ. package,7.99,ea,0.4994,$0.50/oz,2,$7.99,Save $2,Vegetarian,yes,https://www.nuggetmarket.com/specials/specialty-cheese/3114200069/
blue-oaks,2026-07-22,bakery,24500700000,Cherry Pie,,24.99,ea,,,1,$24.99/ea.,Save $1/ea.,,yes,https://www.nuggetmarket.com/specials/bakery/24500700000/
blue-oaks,2026-07-22,deli,70733070733,Diestel Sugar Free Turkey Bacon,8 OZ. package,3.99,ea,0.4988,$0.50/oz,3,$3.99,Save $3,Local; Sugar Free,yes,https://www.nuggetmarket.com/specials/deli/70733070733/
blue-oaks,2026-07-22,staples,19589369367,GRAZA “Drizzle” Extra Virgin Olive Oil,16.9 OZ. bottle,12.99,ea,0.7686,$0.77/oz,8,$12.99,Save $8,Imported,yes,https://www.nuggetmarket.com/specials/staples/19589369367/
blue-oaks,2026-07-22,produce,3035,White Peaches or Nectarines,,3.99,lb,0.2494,$0.25/oz,1,$3.99/lb.,Save $1/lb.,California Grown,no,https://www.nuggetmarket.com/specials/produce/3035/
blue-oaks,2026-07-22,produce,4022,Red or Green Seedless Grapes,,2.99,lb,0.1869,$0.19/oz,1,$2.99/lb.,Save $1/lb.,California Grown,no,https://www.nuggetmarket.com/specials/produce/4022/
blue-oaks,2026-07-22,produce,4045,Red Cherries,,4.99,lb,0.3119,$0.31/oz,1,$4.99/lb.,Save $1/lb.,,no,https://www.nuggetmarket.com/specials/produce/4045/
blue-oaks,2026-07-22,produce,93034,Organic Mixed Variety Melons,,1.99,lb,0.1244,$0.12/oz,1,$1.99/lb.,Save up to $1/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/93034/
blue-oaks,2026-07-22,produce,94796,"Organic Sweet 100, Sungold or Mixed Medley Cherry Tomatoes",,5.99,ea,,,2,$5.99,Save $2,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/94796/
blue-oaks,2026-07-22,produce,74977,Black Seedless Watermelons,,8.99,ea,,,4,$8.99/ea.,Save $4/ea.,Local,no,https://www.nuggetmarket.com/specials/produce/74977/
blue-oaks,2026-07-22,produce,74609,Organic Basil,,2.5,ea,,,0.49,2/$5,Save 98¢ on 2,California Grown; Organic,no,https://www.nuggetmarket.com/specials/produce/74609/
blue-oaks,2026-07-22,meat,2406-541,Grass-Fed Beef Boneless Ribeye Steaks,,36.99,lb,2.3119,$2.31/oz,2,$36.99/lb.,Save $2/lb.,,no,https://www.nuggetmarket.com/specials/meat/2406-541/
blue-oaks,2026-07-22,meat,7274506369,Ground Chicken,,4.99,ea,,,2,$4.99,Save $2,,no,https://www.nuggetmarket.com/specials/meat/7274506369/
blue-oaks,2026-07-22,meat,20016500000,Air‑Chilled Boneless & Skinless Chicken Thighs,,6.99,lb,0.4369,$0.44/oz,2,$6.99/lb.,Save $2/lb.,,no,https://www.nuggetmarket.com/specials/meat/20016500000/
blue-oaks,2026-07-22,meat,20062000000,Organic Chicken Party Wings,,4.99,lb,0.3119,$0.31/oz,2,$4.99/lb.,Save $2/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/meat/20062000000/
