store,week_start,department,sku,name,pack_size,price,price_unit,unit_price,unit_price_label,save_amount,price_text,save_text,labels,is_featured,product_url
blue-oaks,2026-07-08,meat,1328-515,Premium Beef T‑Bone Steaks,,16.99,lb,1.0619,$1.06/oz,3,$16.99/lb.,Save $3/lb.,,yes,https://www.nuggetmarket.com/specials/meat/1328-515/
blue-oaks,2026-07-08,produce,94796,"Organic Sweet 100, Sungold or Mixed Medley Cherry Tomatoes",1 PT. basket,5.99,ea,0.3744,$0.37/oz,2,$5.99,Save $2,Local; Organic,yes,https://www.nuggetmarket.com/specials/produce/94796/
blue-oaks,2026-07-08,specialty-cheese,376011265127,Tentation Triple Cream,,11.99,ea,,,1.5,$11.99/ea.,Save $1.50/ea.,Imported,yes,https://www.nuggetmarket.com/specials/specialty-cheese/376011265127/
blue-oaks,2026-07-08,staples,8000000671,Starkist Albacore Tuna in Water,5 OZ. can,1.25,ea,0.25,$0.25/oz,1.74,4/$5,Save up to $6.96 on 4,Heart Healthy,yes,https://www.nuggetmarket.com/specials/staples/8000000671/
blue-oaks,2026-07-08,adult-beverages,8024400923,Buffalo Trace Kentucky Straight Bourbon Whiskey,750 ML. bottle,21.99,ea,0.0293,$0.029/ml,9,$21.99,Save $9,,yes,https://www.nuggetmarket.com/specials/adult-beverages/8024400923/
blue-oaks,2026-07-08,produce,4045,Red Cherries,,4.99,lb,0.3119,$0.31/oz,2,$4.99/lb.,Save $2/lb.,,no,https://www.nuggetmarket.com/specials/produce/4045/
blue-oaks,2026-07-08,produce,4770,Extra Large Avocados,,3.49,ea,,,0.5,$3.49/ea.,Save 50¢/ea.,California Grown,no,https://www.nuggetmarket.com/specials/produce/4770/
blue-oaks,2026-07-08,produce,94022,Organic Red or Green Seedless Grapes,,3.99,lb,0.2494,$0.25/oz,1,$3.99/lb.,Save $1/lb.,California Grown; Organic,no,https://www.nuggetmarket.com/specials/produce/94022/
blue-oaks,2026-07-08,produce,94040,Organic Black or Red Plums,,2.99,lb,0.1869,$0.19/oz,1,$2.99/lb.,Save $1/lb.,California Grown; Organic,no,https://www.nuggetmarket.com/specials/produce/94040/
blue-oaks,2026-07-08,produce,94067,Organic Zucchini Squash,,2.99,lb,0.1869,$0.19/oz,1,$2.99/lb.,Save $1/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/94067/
blue-oaks,2026-07-08,produce,94712,Organic Shishito Peppers,,5.49,ea,,,0.5,$5.49,Save 50¢,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/94712/
blue-oaks,2026-07-08,produce,93278,Organic Pluots,,3.99,lb,0.2494,$0.25/oz,1,$3.99/lb.,Save $1/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/93278/
blue-oaks,2026-07-08,meat,7274554369,Organic Fresh Ground Chicken,,6.99,ea,,,2,$6.99,Save $2,Organic,no,https://www.nuggetmarket.com/specials/meat/7274554369/
blue-oaks,2026-07-08,meat,20010500000,Pure Air‑Chilled Whole Chickens,,2.29,lb,0.1431,$0.14/oz,0.2,$2.29/lb.,Save 20¢/lb.,,no,https://www.nuggetmarket.com/specials/meat/20010500000/
